"Rank","Taxon","Term","Chisq","Df","Pr(>Chisq)","p_adj"
"Bacterial phylum","Proteobacteria","(Intercept)",381.854639453402,1,4.91110982457321e-85,4.91110982457321e-85
"Bacterial phylum","Proteobacteria","Intensity",23.7850416771712,1,1.07716322217217e-06,1.34645402771522e-06
"Bacterial phylum","Proteobacteria","Frequency",15.9621349269834,1,6.462218504825e-05,0.00032311092524125
"Bacterial phylum","Proteobacteria","Composition",0.0722087863885736,1,0.788147525552682,0.788147525552682
"Bacterial phylum","Proteobacteria","Intensity:Frequency",3.34887465102407,1,0.0672509745025262,0.11208495750421
"Bacterial phylum","Proteobacteria","Intensity:Composition",0.251430315681091,1,0.616069744101059,0.681340989520056
"Bacterial phylum","Proteobacteria","Frequency:Composition",2.64299509047992,1,0.104007297790344,0.260018244475861
"Bacterial phylum","Proteobacteria","Intensity:Frequency:Composition",0.25561642702269,1,0.613147850852959,0.8667485100548
"Bacterial phylum","Actinobacteriota","(Intercept)",499.448500991392,1,1.25304156937344e-110,1.5663019617168e-110
"Bacterial phylum","Actinobacteriota","Intensity",495.540800301304,1,8.87586649272473e-110,4.43793324636236e-109
"Bacterial phylum","Actinobacteriota","Frequency",4.256277849777,1,0.0391055169479168,0.048881896184896
"Bacterial phylum","Actinobacteriota","Composition",1.80055199303924,1,0.179645775935571,0.299409626559284
"Bacterial phylum","Actinobacteriota","Intensity:Frequency",14.8316107170076,1,0.000117548603152188,0.000587743015760938
"Bacterial phylum","Actinobacteriota","Intensity:Composition",7.5442565369226,1,0.00602016567013609,0.0150504141753402
"Bacterial phylum","Actinobacteriota","Frequency:Composition",4.70426426387456,1,0.0300878776156141,0.15043938807807
"Bacterial phylum","Actinobacteriota","Intensity:Frequency:Composition",8.8008934976445,1,0.00301083056495341,0.0150541528247671
"Bacterial phylum","Firmicutes","(Intercept)",864.59074083336,1,4.89260302072074e-190,8.1543383678679e-190
"Bacterial phylum","Firmicutes","Intensity",55.750059875871,1,8.22957701326679e-14,2.0573942533167e-13
"Bacterial phylum","Firmicutes","Frequency",5.23122297554186,1,0.0221849283087179,0.0369748805145298
"Bacterial phylum","Firmicutes","Composition",4.38067809398609,1,0.0363485341233555,0.0908713353083889
"Bacterial phylum","Firmicutes","Intensity:Frequency",12.6643261370507,1,0.000372698833648693,0.000931747084121733
"Bacterial phylum","Firmicutes","Intensity:Composition",9.0263814033635,1,0.0026611074511475,0.0133055372557375
"Bacterial phylum","Firmicutes","Frequency:Composition",0.0261467360109809,1,0.871542479524907,0.871542479524907
"Bacterial phylum","Firmicutes","Intensity:Frequency:Composition",0.051609460945912,1,0.820285988938014,0.8667485100548
"Bacterial phylum","Chloroflexi","(Intercept)",3111.34792093355,1,0,0
"Bacterial phylum","Chloroflexi","Intensity",4.40427615014348,1,0.0358489354090979,0.0358489354090979
"Bacterial phylum","Chloroflexi","Frequency",0.329503078340305,1,0.565951840147017,0.565951840147017
"Bacterial phylum","Chloroflexi","Composition",14.4785065689421,1,0.000141767941822143,0.000708839709110716
"Bacterial phylum","Chloroflexi","Intensity:Frequency",2.28886468289166,1,0.130305206934857,0.162881508668572
"Bacterial phylum","Chloroflexi","Intensity:Composition",0.168620214035775,1,0.681340989520056,0.681340989520056
"Bacterial phylum","Chloroflexi","Frequency:Composition",0.0850961049427767,1,0.770506552954096,0.871542479524907
"Bacterial phylum","Chloroflexi","Intensity:Frequency:Composition",0.0281534754641079,1,0.8667485100548,0.8667485100548
"Bacterial phylum","Bacteroidota","(Intercept)",5344.10309794944,1,0,0
"Bacterial phylum","Bacteroidota","Intensity",30.65216851328,1,3.0868141597809e-08,5.1446902663015e-08
"Bacterial phylum","Bacteroidota","Frequency",14.0947993343591,1,0.000173823723539863,0.000434559308849657
"Bacterial phylum","Bacteroidota","Composition",0.394690970336273,1,0.529843877477221,0.662304846846526
"Bacterial phylum","Bacteroidota","Intensity:Frequency",0.0391981744087057,1,0.843056574082732,0.843056574082732
"Bacterial phylum","Bacteroidota","Intensity:Composition",0.700791447059466,1,0.40251788430358,0.670863140505967
"Bacterial phylum","Bacteroidota","Frequency:Composition",1.18221344343956,1,0.276905842745084,0.461509737908474
"Bacterial phylum","Bacteroidota","Intensity:Frequency:Composition",0.145453804074011,1,0.702918284358121,0.8667485100548
"Fungal phylum","Ascomycota","(Intercept)",554.615779821145,1,1.24703320646281e-122,1.55879150807852e-122
"Fungal phylum","Ascomycota","Intensity",2.52337816684178,1,0.112170055524834,0.140212569406042
"Fungal phylum","Ascomycota","Frequency",0.000785403522450942,1,0.977642170628954,0.977642170628954
"Fungal phylum","Ascomycota","Composition",1.99241265359386,1,0.158088843679111,0.395222109197779
"Fungal phylum","Ascomycota","Intensity:Frequency",5.37658014190296,1,0.0204088463101037,0.0315706115593574
"Fungal phylum","Ascomycota","Intensity:Composition",0.11671352223895,1,0.732626641686303,0.915783302107879
"Fungal phylum","Ascomycota","Frequency:Composition",5.94498908312241,1,0.0147591826774328,0.0737959133871638
"Fungal phylum","Ascomycota","Intensity:Frequency:Composition",0.347771683730997,1,0.555377244330858,0.87474262184396
"Fungal phylum","Basidiomycota","(Intercept)",524.731588189758,1,3.95485984543011e-116,3.95485984543011e-116
"Fungal phylum","Basidiomycota","Intensity",10.1114012209842,1,0.0014735488702338,0.00368387217558451
"Fungal phylum","Basidiomycota","Frequency",1.15796789370911,1,0.281887380377834,0.469812300629723
"Fungal phylum","Basidiomycota","Composition",0.414520618886588,1,0.519683889802686,0.866139816337811
"Fungal phylum","Basidiomycota","Intensity:Frequency",5.00621365289277,1,0.0252564892474859,0.0315706115593574
"Fungal phylum","Basidiomycota","Intensity:Composition",0.249240442077667,1,0.61761041399348,0.915783302107879
"Fungal phylum","Basidiomycota","Frequency:Composition",3.48115253048571,1,0.062071494375806,0.103452490626343
"Fungal phylum","Basidiomycota","Intensity:Frequency:Composition",2.22935804409403,1,0.13541009807038,0.338525245175949
"Fungal phylum","Chytridiomycota","(Intercept)",766.243939600402,1,1.17878393621204e-168,1.96463989368674e-168
"Fungal phylum","Chytridiomycota","Intensity",3.30980805804729,1,0.0688675354100136,0.114779225683356
"Fungal phylum","Chytridiomycota","Frequency",0.00787710184532699,1,0.929278180173179,0.977642170628954
"Fungal phylum","Chytridiomycota","Composition",8.02071530043535e-06,1,0.997740324736347,0.997740324736347
"Fungal phylum","Chytridiomycota","Intensity:Frequency",0.364752501703108,1,0.545878591771585,0.545878591771585
"Fungal phylum","Chytridiomycota","Intensity:Composition",0.00226341248186409,1,0.962054689738071,0.962054689738071
"Fungal phylum","Chytridiomycota","Frequency:Composition",0.116192869206426,1,0.733200884496094,0.733200884496094
"Fungal phylum","Chytridiomycota","Intensity:Frequency:Composition",0.148686147842652,1,0.699794097475168,0.87474262184396
"Fungal phylum","Glomeromycota","(Intercept)",2649.23850180412,1,0,0
"Fungal phylum","Glomeromycota","Intensity",13.3922291206577,1,0.000252668926547735,0.00126334463273868
"Fungal phylum","Glomeromycota","Frequency",7.98641003752965,1,0.00471297746532193,0.0235648873266096
"Fungal phylum","Glomeromycota","Composition",5.75135405351485,1,0.016475952660888,0.0823797633044402
"Fungal phylum","Glomeromycota","Intensity:Frequency",9.05918328153832,1,0.00261378702742089,0.0130689351371044
"Fungal phylum","Glomeromycota","Intensity:Composition",6.68832414076072,1,0.0097046391161332,0.048523195580666
"Fungal phylum","Glomeromycota","Frequency:Composition",4.0129581958701,1,0.0451518635611717,0.103452490626343
"Fungal phylum","Glomeromycota","Intensity:Frequency:Composition",2.74397454983664,1,0.0976216861154448,0.338525245175949
"Fungal phylum","Mortierellomycota","(Intercept)",43263.037001475,1,0,0
"Fungal phylum","Mortierellomycota","Intensity",1.64365129151778,1,0.199825231664024,0.199825231664024
"Fungal phylum","Mortierellomycota","Frequency",1.64365362363105,1,0.199824912627715,0.469812300629723
"Fungal phylum","Mortierellomycota","Composition",0.00705227061054022,1,0.933074083778407,0.997740324736347
"Fungal phylum","Mortierellomycota","Intensity:Frequency",5.49513709962126,1,0.0190694325076687,0.0315706115593574
"Fungal phylum","Mortierellomycota","Intensity:Composition",0.469018506493417,1,0.493439048276676,0.915783302107879
"Fungal phylum","Mortierellomycota","Frequency:Composition",0.469020799072248,1,0.493437991963979,0.616797489954974
"Fungal phylum","Mortierellomycota","Intensity:Frequency:Composition",0.00705250540020286,1,0.933072972329425,0.933072972329425
"Bacterial genus","Streptomyces","(Intercept)",2183.07130154244,1,0,0
"Bacterial genus","Streptomyces","Intensity",339.937680697276,1,6.58328475013642e-76,3.29164237506821e-75
"Bacterial genus","Streptomyces","Frequency",1.94601697419284,1,0.163016707027857,0.203770883784821
"Bacterial genus","Streptomyces","Composition",1.67390781575827,1,0.195735931288357,0.489339828220893
"Bacterial genus","Streptomyces","Intensity:Frequency",19.958397097208,1,7.9145599049534e-06,3.9572799524767e-05
"Bacterial genus","Streptomyces","Intensity:Composition",0.859548826151182,1,0.353864980162659,0.461615961603813
"Bacterial genus","Streptomyces","Frequency:Composition",1.3973250762557,1,0.237171953925861,0.655117821849775
"Bacterial genus","Streptomyces","Intensity:Frequency:Composition",8.6179344811535,1,0.00332869093180547,0.0166434546590274
"Bacterial genus","Lechevalieria","(Intercept)",1497.06359725196,1,0,0
"Bacterial genus","Lechevalieria","Intensity",22.4272045300089,1,2.18260524010304e-06,2.18260524010304e-06
"Bacterial genus","Lechevalieria","Frequency",3.9589103044519,1,0.046623875973921,0.0777064599565351
"Bacterial genus","Lechevalieria","Composition",0.490311248569793,1,0.483788496444665,0.604735620555832
"Bacterial genus","Lechevalieria","Intensity:Frequency",0.101805564656004,1,0.749673551261837,0.914171556034745
"Bacterial genus","Lechevalieria","Intensity:Composition",0.576398571026477,1,0.44772743859994,0.461615961603813
"Bacterial genus","Lechevalieria","Frequency:Composition",0.75098689690301,1,0.386163953153803,0.655117821849775
"Bacterial genus","Lechevalieria","Intensity:Frequency:Composition",0.577640112949368,1,0.447238810762935,0.447238810762935
"Bacterial genus","Steroidobacter","(Intercept)",4105.76577929568,1,0,0
"Bacterial genus","Steroidobacter","Intensity",55.6635865358331,1,8.59965241295328e-14,2.14991310323832e-13
"Bacterial genus","Steroidobacter","Frequency",4.14975867102501,1,0.0416404581425269,0.0777064599565351
"Bacterial genus","Steroidobacter","Composition",0.155675511389956,1,0.693169586333535,0.693169586333535
"Bacterial genus","Steroidobacter","Intensity:Frequency",0.0116161621304932,1,0.914171556034745,0.914171556034745
"Bacterial genus","Steroidobacter","Intensity:Composition",5.74295785101379,1,0.0165548909809592,0.0827744549047958
"Bacterial genus","Steroidobacter","Frequency:Composition",0.115262908242801,1,0.73423014836047,0.73423014836047
"Bacterial genus","Steroidobacter","Intensity:Frequency:Composition",5.45305274411796,1,0.0195341635868631,0.0488354089671578
"Bacterial genus","Rhodomicrobium","(Intercept)",2006.83826905028,1,0,0
"Bacterial genus","Rhodomicrobium","Intensity",24.0763557929432,1,9.25902337907038e-07,1.1573779223838e-06
"Bacterial genus","Rhodomicrobium","Frequency",8.9013969373523,1,0.00284952577471064,0.0142476288735532
"Bacterial genus","Rhodomicrobium","Composition",0.939310357138372,1,0.332455263276564,0.55409210546094
"Bacterial genus","Rhodomicrobium","Intensity:Frequency",7.24913854623385,1,0.00709350344055079,0.017733758601377
"Bacterial genus","Rhodomicrobium","Intensity:Composition",0.693796688277635,1,0.404875980738934,0.461615961603813
"Bacterial genus","Rhodomicrobium","Frequency:Composition",0.405828825708379,1,0.52409425747982,0.655117821849775
"Bacterial genus","Rhodomicrobium","Intensity:Frequency:Composition",3.38718099242399,1,0.0657051958958284,0.109508659826381
"Bacterial genus","BIrii41","(Intercept)",2904.52034689123,1,0,0
"Bacterial genus","BIrii41","Intensity",52.3270489962558,1,4.69857877704194e-13,7.83096462840323e-13
"Bacterial genus","BIrii41","Frequency",0.00184225336606054,1,0.965764126699945,0.965764126699945
"Bacterial genus","BIrii41","Composition",12.7661256408914,1,0.000352953131036615,0.00176476565518308
"Bacterial genus","BIrii41","Intensity:Frequency",0.314113927651423,1,0.575166618759667,0.914171556034745
"Bacterial genus","BIrii41","Intensity:Composition",0.541973575868035,1,0.461615961603813,0.461615961603813
"Bacterial genus","BIrii41","Frequency:Composition",0.630908902716577,1,0.427022118335402,0.655117821849775
"Bacterial genus","BIrii41","Intensity:Frequency:Composition",0.695055136366336,1,0.404450245289541,0.447238810762935
"Fungal genus","Darksidea","(Intercept)",359.879439759573,1,2.99113226426317e-80,4.98522044043861e-80
"Fungal genus","Darksidea","Intensity",116.37299272543,1,3.93808165470545e-27,1.96904082735273e-26
"Fungal genus","Darksidea","Frequency",3.61722229854709,1,0.0571842742854694,0.142960685713673
"Fungal genus","Darksidea","Composition",2.75263587189664,1,0.0970942430339194,0.242735607584798
"Fungal genus","Darksidea","Intensity:Frequency",0.000690367287885491,1,0.979038121677466,0.979038121677466
"Fungal genus","Darksidea","Intensity:Composition",0.156176736763266,1,0.692701177690191,0.865876472112738
"Fungal genus","Darksidea","Frequency:Composition",0.00757453384382868,1,0.930646236933928,0.930646236933928
"Fungal genus","Darksidea","Intensity:Frequency:Composition",1.69701605887424,1,0.192678674322555,0.395373388607207
"Fungal genus","Podospora","(Intercept)",274.393629507506,1,1.25130993326695e-61,1.56413741658369e-61
"Fungal genus","Podospora","Intensity",34.0740203289701,1,5.30549089070796e-09,6.63186361338495e-09
"Fungal genus","Podospora","Frequency",1.96367871815376,1,0.16112043203921,0.268534053398683
"Fungal genus","Podospora","Composition",0.655803692173289,1,0.418045318432354,0.533486587049854
"Fungal genus","Podospora","Intensity:Frequency",2.05771459212154,1,0.151437149342463,0.60976970351701
"Fungal genus","Podospora","Intensity:Composition",0.838684226976949,1,0.359773353873852,0.865876472112738
"Fungal genus","Podospora","Frequency:Composition",0.664917344616357,1,0.414829284572898,0.930646236933928
"Fungal genus","Podospora","Intensity:Frequency:Composition",0.0371648809193416,1,0.84712973876218,0.84712973876218
"Fungal genus","Apiosordaria","(Intercept)",211.228150628513,1,7.41176742130547e-48,7.41176742130547e-48
"Fungal genus","Apiosordaria","Intensity",49.2307437201362,1,2.27556207203947e-12,3.79260345339912e-12
"Fungal genus","Apiosordaria","Frequency",5.297993148304,1,0.0213500091213434,0.106750045606717
"Fungal genus","Apiosordaria","Composition",0.0924015163794799,1,0.761146040642796,0.761146040642796
"Fungal genus","Apiosordaria","Intensity:Frequency",0.701182749892501,1,0.402386558327289,0.670644263878815
"Fungal genus","Apiosordaria","Intensity:Composition",0.0075027189097548,1,0.930974969680302,0.930974969680302
"Fungal genus","Apiosordaria","Frequency:Composition",0.0290715206236643,1,0.864614004244312,0.930646236933928
"Fungal genus","Apiosordaria","Intensity:Frequency:Composition",2.66618253163944,1,0.102501616946441,0.395373388607207
"Fungal genus","Pseudomassariosphaeria","(Intercept)",362.889948833819,1,6.61169485727921e-81,1.6529237143198e-80
"Fungal genus","Pseudomassariosphaeria","Intensity",60.6874360200866,1,6.6895733519071e-15,1.67239333797678e-14
"Fungal genus","Pseudomassariosphaeria","Frequency",0.80928004655855,1,0.368333190774624,0.46041648846828
"Fungal genus","Pseudomassariosphaeria","Composition",0.631544710146059,1,0.426789269639883,0.533486587049854
"Fungal genus","Pseudomassariosphaeria","Intensity:Frequency",1.35786475382547,1,0.243907881406804,0.60976970351701
"Fungal genus","Pseudomassariosphaeria","Intensity:Composition",0.48737917494179,1,0.485098729500582,0.865876472112738
"Fungal genus","Pseudomassariosphaeria","Frequency:Composition",0.121159411801409,1,0.72778040017764,0.930646236933928
"Fungal genus","Pseudomassariosphaeria","Intensity:Frequency:Composition",1.00419024582308,1,0.316298710885766,0.395373388607207
"Fungal genus","Cistella","(Intercept)",818.718865419149,1,4.59516463339254e-180,2.29758231669627e-179
"Fungal genus","Cistella","Intensity",2.26987213332021,1,0.131910785335594,0.131910785335594
"Fungal genus","Cistella","Frequency",0.539773938382443,1,0.46252642880668,0.46252642880668
"Fungal genus","Cistella","Composition",4.76413422679148,1,0.0290586706399086,0.145293353199543
"Fungal genus","Cistella","Intensity:Frequency",0.0662935354617296,1,0.796811872430098,0.979038121677466
"Fungal genus","Cistella","Intensity:Composition",0.330601332614268,1,0.56530521601077,0.865876472112738
"Fungal genus","Cistella","Frequency:Composition",0.0760109693756669,1,0.782777827834221,0.930646236933928
"Fungal genus","Cistella","Intensity:Frequency:Composition",1.32894294035963,1,0.248993356859548,0.395373388607207
